Date,Close,High,Low,Open,Volume
2020-01-02,152.1584014892578,152.26260717686054,149.98904693545595,150.41533767385138,22622100
2020-01-03,150.26376342773438,151.52369966939423,149.7332670007078,149.9795792382155,21116200
2020-01-06,150.6521759033203,150.7184951877552,148.26492739771743,148.80490629687822,20813700
2020-01-07,149.27850341796875,151.25839630947817,149.03220572520078,150.92684339093725,21634100
2020-01-08,151.65631103515625,152.32891395537885,149.62904874222338,150.55741741152548,27746500
2020-01-09,153.55096435546875,153.67412047600544,152.5468083247831,153.31413455747898,21385000
2020-01-10,152.84046936035156,154.6214340015497,152.68889482600636,154.24251212062987,20725900
2020-01-13,154.6782684326172,154.70668685049705,152.7646797173632,153.23833928861814,21626500
2020-01-14,153.5888214111328,154.98138138252065,153.2004171840242,154.78243804877684,23477400
2020-01-15,154.5835418701172,155.30351372144347,154.00569102831227,154.05304542489407,21417900
2020-01-16,157.41598510742188,157.4823043709957,155.38872317227825,155.69187216871902,23865400
2020-01-17,158.2970733642578,158.64757690746873,156.7150372874572,158.6002080477235,34371700
2020-01-21,157.72860717773438,159.32957853635287,157.66228791202107,157.8991176525282,29517200
2020-01-22,156.97080993652344,158.66651963033502,156.95185950255714,158.58124990495958,24138800
2020-01-23,157.93707275390625,158.01286003149272,156.5634626781463,157.4349946879729,19680800
2020-01-24,156.3455352783203,158.7043650014878,155.7866204878923,158.6854145724222,24918100
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100
2020-01-28,156.743408203125,157.02759233935902,154.47931636983554,155.15190476551047,24899900
2020-01-29,159.18751525878906,159.8601182647004,156.96132376629157,158.9980543059086,34754500
2020-01-30,163.6778106689453,164.88091010363243,161.7926402519902,164.88091010363243,51597500
2020-01-31,161.2621307373047,163.31781150569444,160.6463790875127,163.1378330139446,36142700
2020-02-03,165.19349670410156,165.30717036186377,161.42315656565438,161.45157498009493,30107000
2020-02-04,170.631103515625,171.1237134714776,167.02182022982586,167.80809677985968,36433300
2020-02-05,170.42266845703125,174.4961427167114,169.01117251299462,174.33510023440238,39186300
2020-02-06,173.9561767578125,174.13616966421563,170.57424129734784,171.4363049780474,27751400
2020-02-07,174.20249938964844,175.85083973913436,172.86677606101028,173.21729393859556,33529100
2020-02-10,178.75912475585938,178.89174886166035,173.5962381626121,173.90885522377374,35844300
2020-02-11,174.72354125976562,180.65375376260124,173.8330589718601,180.60638491548957,53159900
2020-02-12,174.97933959960938,176.05928293291046,172.2700060504583,175.8035026959606,47062900
2020-02-13,174.03201293945312,176.41924686578838,173.23625384239782,173.43519723039753,35295800
2020-02-14,175.5855712890625,175.64240811266504,173.02779858742983,173.59619573333484,23149500
2020-02-18,177.36656188964844,177.81180305026547,175.727703793834,175.83190947940273,27792200
2020-02-19,177.8984832763672,178.75339330512708,177.1290613515988,178.63940916647175,29997500
2020-02-20,175.18177795410156,177.87001544081576,172.02809549780588,177.5850405545757,36862400
2020-02-21,169.64381408691406,174.30785891305882,168.3709427375459,173.99438799966083,48572600
2020-02-24,162.32955932617188,165.80622141128146,155.0532703487702,159.36585498840046,68311100
2020-02-25,159.6508331298828,166.08169133903291,159.2518595430359,165.47375160376006,68073300
2020-02-26,161.64556884765625,164.58077611773928,159.78376043782066,161.20862002458966,56206100
2020-02-27,150.25619506835938,158.66287293546242,150.06621667754132,155.13872812835803,93174900
2020-02-28,153.8943634033203,155.50921622258826,144.38580353335962,144.7752687189207,97012700
2020-03-02,164.1343536376953,164.25784613285873,154.17933661297113,157.02905638868572,71030800
2020-03-03,156.26910400390625,166.23362782707545,154.1318145032724,165.0937429922885,71677000
2020-03-04,162.0065460205078,162.1490261885452,157.32349974057868,160.04974107587717,49814400
2020-03-05,157.94097900390625,162.31054079350352,157.39003142065653,157.7319983863141,47817300
2020-03-06,153.47640991210938,154.9392596374927,148.18542341366964,154.46430635732068,72821100
2020-03-09,143.07493591308594,149.84777500974567,142.48599842448084,143.43590508064403,70419300
2020-03-10,152.8589630126953,152.9634533148357,144.93674572307532,150.23722610593282,65354400
2020-03-11,145.93418884277344,149.80030204844616,143.57840950209692,149.25886270019677,56371600
2020-03-12,132.09396362304688,145.78211645613325,131.6380126717602,138.02138396745121,93226400
2020-03-13,150.8736572265625,153.79937110403267,133.6803430845326,140.11121440764762,92727400
2020-03-16,128.6363525390625,141.8685592719839,128.23739349861998,132.98692659116145,87905900
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800
2020-03-18,133.36688232421875,138.68636514109926,128.25639461563904,131.08711225665544,81593200
2020-03-19,135.5612030029297,142.6284972735,132.03704247024078,135.61819509064304,85922700
2020-03-20,130.4696807861328,139.73127038304972,129.0543146964059,138.6863672974225,84866200
2020-03-23,129.16830444335938,133.52838705805826,125.88163549437337,130.14670715023314,78975200
2020-03-24,140.90914916992188,142.10604082694735,134.19331668258258,136.5490811192796,82516700
2020-03-25,139.5602569580078,146.59906738567054,137.20449296873716,141.45057605299218,75638200
2020-03-26,148.28990173339844,148.81235319825882,140.9376203324005,140.96611636735446,64568100
2020-03-27,142.2010040283203,147.13102121684818,141.7260507653704,144.14831530529963,57042300
2020-03-30,152.20355224609375,152.55502759461282,142.4955042449224,144.8037851504322,63420300
2020-03-31,149.8097686767578,156.52560046154846,148.71736744542542,151.41509857414286,77927200
2020-04-01,144.4902801513672,149.8477523004297,143.26490712816815,145.33569636745324,57969900
2020-04-02,147.4824981689453,147.69147878711792,142.82796147930063,144.25282142442757,49630700
