Date,Close,High,Low,Open,Volume
2021-11-30,4699469.5,10884403.497126436,3205002.1877394635,3205002.1877394635,5
2021-12-01,5887841.0,9678026.108562691,5527728.40061162,9200876.914373089,45
2021-12-02,4906534.5,5401689.357798165,4321351.486238532,4870523.237614678,3
2021-12-03,3691154.0,4843514.273170732,3655142.7414634144,4735480.497560975,1
2021-12-06,2970929.0,3410266.3793939394,2862895.2181818183,3410266.3793939394,1
2021-12-07,2772867.0,3051954.262987013,2745858.5551948054,3033948.633116883,1
2021-12-08,2511785.25,2691841.5403225804,2401050.631451613,2691841.5403225804,1
2021-12-09,2340732.0,2511785.4923076923,2331729.184615385,2493779.8615384614,1
2021-12-10,2178681.25,2439762.887396694,2142669.9896694217,2385745.9969008267,1
2021-12-13,2394748.75,2439762.82424812,2160675.5639097746,2232698.082706767,1
2021-12-14,2187684.0,2403751.5555555555,2115661.4814814813,2403751.5555555555,1
2021-12-15,2061644.625,2223695.294213974,1926602.400655022,2205689.66430131,1
2021-12-16,1935605.375,2115661.6889534886,1899594.1122093024,2061644.794767442,0
2021-12-17,1890591.125,2019331.377797619,1851879.0210119048,1903195.0658333334,0
2021-12-20,1980619.375,2052641.8977272727,1827571.5142045454,1890591.221590909,0
2021-12-21,2142670.0,2250703.781512605,1998624.9579831932,2025633.4033613445,1
2021-12-22,2061644.625,2160675.5895196507,2043638.9950873363,2106658.6997816595,0
2021-12-23,2052641.875,2196686.918859649,2007627.7987938598,2043639.059758772,0
2021-12-27,1917599.625,2124664.3732394367,1890591.179577465,2025633.406690141,0
2021-12-28,1836574.25,1971616.474264706,1809565.8051470588,1917599.5845588236,1
2021-12-29,1757349.5,1935605.2382172132,1728540.4918032787,1881588.3478483607,0
2021-12-30,1917599.625,1935605.2552816903,1710534.8767605633,1755548.9524647887,0
2021-12-31,1827571.5,1935605.2832512315,1782557.4236453203,1917599.6527093598,0
2022-01-03,1935605.375,1971616.6377906976,1818568.7709302327,1872585.6651162792,0
2022-01-04,1935605.375,1962613.8220930232,1872585.6651162792,1899594.1122093024,0
2022-01-05,1890591.125,2025633.3482142857,1863582.6803571428,1917599.5696428572,0
2022-01-06,1800563.0,1944608.0399999998,1782557.3699999999,1872585.52,0
2022-01-07,1800563.0,1854579.89,1782557.3699999999,1836574.26,0
2022-01-10,1755548.875,1797862.1042948717,1719537.6160256409,1755548.875,0
2022-01-11,1755548.875,1800562.9487179487,1719537.6160256409,1737543.2455128205,0
2022-01-12,1989622.125,2088653.0904977375,1728540.4886877828,1755548.9338235294,1
2022-01-13,1760050.375,1926602.4565217393,1755548.9673913044,1917599.641304348,0
2022-01-14,1611503.875,1755548.914106145,1575492.6152234636,1737543.284217877,1
2022-01-18,1377430.625,1566489.7303921569,1368427.8104575165,1539481.286764706,0
2022-01-19,1332416.625,1395436.3302364866,1332416.625,1377430.700168919,0
2022-01-20,1062332.25,1305408.2733050848,1008315.3559322034,1242388.5635593222,3
2022-01-21,505057.9375,590584.6827094475,495154.8406862745,558174.5476827094,16
2022-01-24,514060.75,522163.2837127846,450140.76182136603,485251.74124343257,3
2022-01-25,484351.4375,522163.2597583643,442038.20782992564,515861.28938197024,3
2022-01-26,488852.875,513160.47651933704,471747.52578268875,492454.0011510129,1
2022-01-27,484351.4375,504157.6301115242,459143.5559944238,504157.6301115242,1
2022-01-28,491553.71875,503257.3787202381,468146.39880952385,486152.0295329671,1
2022-01-31,485251.71875,513160.4446892393,468146.370593692,468146.370593692,1
2022-02-01,497855.6875,513160.47355334536,477149.2122513562,490653.4352396022,1
2022-02-02,468146.375,509559.3235576923,464545.24903846154,495154.81971153844,1
2022-02-03,418630.90625,464545.26370967744,414129.498655914,464545.26370967744,2
2022-02-04,396123.875,432135.13636363635,396123.875,431234.8548295454,2
2022-02-07,369115.4375,396123.8841463414,367314.8743902439,396123.8841463414,1
2022-02-08,364614.0,373616.81481481483,353810.6222222222,360112.5925925926,2
2022-02-09,358312.0625,392522.76193467336,351109.8099874372,369115.44126884424,3
2022-02-10,387121.0625,387121.0625,355611.2085755814,360112.61627906974,1
2022-02-11,448340.1875,467246.0990210843,378118.2304216867,378118.2304216867,5
2022-02-14,448340.1875,462744.6915160642,423132.3054718875,450140.750502008,1
2022-02-15,450140.75,456442.7205,432135.12,441137.935,1
2022-02-16,450140.75,462744.691,436636.52749999997,450140.75,1
2022-02-17,450140.75,459143.565,441137.935,441137.935,1
2022-02-18,434835.96875,450140.7543995859,433035.40573240165,450140.7543995859,0
2022-02-22,427633.71875,447439.91203947365,409628.0884868421,414129.4960526316,0
2022-02-23,437536.8125,465445.53922325105,422232.02687757206,435736.2494855967,1
2022-02-24,423132.3125,447439.91343085107,392522.7409574468,423132.3125,1
2022-02-25,448340.1875,454642.1580070281,425833.1499748996,438437.0909889558,1
