Date,Close,High,Low,Open,Volume
2020-01-02,2.245232582092285,2.245232582092285,2.245232582092285,2.245232582092285,100
2020-01-03,2.245232582092285,2.245232582092285,2.245232582092285,2.245232582092285,0
2020-01-06,2.245232582092285,2.245232582092285,2.245232582092285,2.245232582092285,0
2020-01-07,2.2623720169067383,2.2623720169067383,2.2623720169067383,2.2623720169067383,5000
2020-01-08,2.2623720169067383,2.2623720169067383,2.2623720169067383,2.2623720169067383,0
2020-01-09,2.2623720169067383,2.2623720169067383,2.2623720169067383,2.2623720169067383,0
2020-01-10,2.2623720169067383,2.2623720169067383,2.2623720169067383,2.2623720169067383,0
2020-01-13,2.26808500289917,2.26808500289917,2.26808500289917,2.26808500289917,200
2020-01-14,2.26808500289917,2.26808500289917,2.26808500289917,2.26808500289917,0
2020-01-15,2.26808500289917,2.26808500289917,2.26808500289917,2.26808500289917,0
2020-01-16,2.26808500289917,2.26808500289917,2.26808500289917,2.26808500289917,0
2020-01-17,2.26808500289917,2.26808500289917,2.26808500289917,2.26808500289917,200
2020-01-21,2.3594939708709717,2.3594939708709717,2.3594939708709717,2.3594939708709717,100
2020-01-22,2.2566587924957275,2.2852240660797305,2.2566587924957275,2.2852240660797305,1600
2020-01-23,2.250945806503296,2.250945806503296,2.250945806503296,2.250945806503296,2100
2020-01-24,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,6300
2020-01-27,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-01-28,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-01-29,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-01-30,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-01-31,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-03,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-04,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-05,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-06,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-07,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-10,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-11,2.2852237224578857,2.2852237224578857,2.2852237224578857,2.2852237224578857,0
2020-02-12,2.2566587924957275,2.2566587924957275,2.2566587924957275,2.2566587924957275,500
2020-02-13,2.2280936241149902,2.245232789074647,2.2280936241149902,2.245232789074647,700
