Date,Type,Price,Profit,run_date
2020-02-27,Buy,150.2562255859375,,2026-05-22
2020-04-09,Sell,156.86758422851562,6.611358642578125,2026-05-22
2020-09-18,Buy,191.3433532714844,,2026-05-22
2020-10-13,Sell,212.7989196777344,21.45556640625,2026-05-22
2020-10-30,Buy,193.32945251464844,,2026-05-22
2020-12-31,Sell,212.934814453125,19.605361938476562,2026-05-22
2021-02-25,Buy,219.7295684814453,,2026-05-22
2021-04-08,Sell,243.00845336914065,23.27888488769534,2026-05-22
2021-05-05,Buy,236.50265502929688,,2026-05-22
2021-06-11,Sell,248.0322723388672,11.529617309570312,2026-05-22
2021-09-10,Buy,284.9510498046875,,2026-05-22
2021-10-18,Sell,296.1097717285156,11.158721923828125,2026-05-22
2022-01-13,Buy,294.2476806640625,,2026-05-22
2022-03-28,Sell,300.5635986328125,6.31591796875,2026-05-22
2022-04-18,Buy,271.3681945800781,,2026-05-22
2022-06-08,Sell,262.1972961425781,-9.1708984375,2026-05-22
2022-06-17,Buy,240.12857055664065,,2026-05-22
2022-07-08,Sell,259.5308532714844,19.40228271484372,2026-05-22
2022-08-30,Buy,255.52447509765625,,2026-05-22
2022-11-22,Sell,238.763412475586,-16.761062622070256,2026-05-22
2023-01-04,Buy,223.24082946777344,,2026-05-22
2023-01-26,Sell,241.657455444336,18.416625976562557,2026-05-22
2023-03-01,Buy,240.57276916503903,,2026-05-22
2023-03-16,Sell,269.8103942871094,29.23762512207034,2026-05-22
2023-08-07,Buy,323.1781616210937,,2026-05-22
2023-09-08,Sell,327.943603515625,4.765441894531307,2026-05-22
2023-09-26,Buy,306.23248291015625,,2026-05-22
2023-10-16,Sell,326.34454345703125,20.112060546875,2026-05-22
